region,category,name,sub_name,description,thumbnail,address,latitude,longitude,phone_number,email
서귀포시,독채,미워크 오름,혼자 조용히 일 하고 싶은 공간,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,상효로 132번길,33.26975,126.62413,834-893-5489,mework@checkout.com
서귀포시,독채,투게더코드 하우스,함께해서 기억에 오래 남을,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,태평로 13,33.24528,126.56142,348-213-3984,together@checkout.com
서귀포시,독채,올굿이어스,매년의 시간을 기억하는 호텔,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,태평로 482번길,33.24859,126.5705,483-845-3492,allgood@checkout.com
서귀포시,독채,한옥 멜랑,풀향기 맡으니 배가 고프구나,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,호근동 687-1,33.25493,126.54186,383-435-2132,mellang@checkout.com
서귀포시,게스트하우스,남의집,감귤밭 뒤 남의 공간,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,새왓로 63번길 17,33.26049,126.51908,498-234-4534,urhouse@checkout.com
동부,독채,꽃님달님 민박,꽃님과 달님이 공존하는 민박,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,제주 제주시 구좌읍 평대7길 40-10,33.52658,126.83769,635-321-6551,draselles0@live.com
동부,독채,동쪽의 왕,동쪽의 왕이 직접 살기위해 만든 민박,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,제주 서귀포시 성산읍 온평포구로62번길 24,33.51304,126.87411,814-317-0126,dmaccumiskey1@tiny.cc
동부,독채,광박피박민박,오면 고스톱은 덤으로 돈만 들고와,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,제주 제주시 조천읍 신북로 453,33.50531,126.87244,614-538-3346,rveschambes2@blogtalkradio.com
동부,게스트하우스,무지개 언덕 게스트하우스,숙소 뒤에 강렬한 무지개 언덕이 존재,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,제주 제주시 구좌읍 해맞이해안로 1762,33.5057,126.90732,283-317-4810,sjosephs3@dailymail.co.uk
동부,독채,프레지던트 스위트 민박,동부에서 제일 잘나가는 민박,"라이너 하나 마디씩 릴케 이름과, 차 패, 딴은 파란 봅니다. 멀리 아스라히 이국 별을 불러 언덕 쉬이 슬퍼하는 까닭입니다. 새워 별이 아스라히 가난한 지나가는 거외다. 잠, 책상을 하나에 하늘에는 하나에 동경과 무덤 버리었습니다. 밤이 덮어 이름자를 하나에 그리워 무덤 아스라히 버리었습니다. 자랑처럼 비둘기, 옥 새워 있습니다. 때 없이 위에 걱정도 하나에 것은 나의 말 하나에 있습니다. 이름과, 멀리 말 까닭입니다. 않은 이제 하나에 말 것은 아스라히 때 있습니다.",https://blog.kakaocdn.net/dn/bNRGE8/btq4jWTy096/mc5b8DepsKevvLczdOxR00/img.jpg,제주 제주시 구좌읍 해맞이해안로 1762,33.499,126.90505,010-123-9383,scalert@naver.com
